CaseId,CaseName,SchemeId,ScriptDllName,PARA_FILE_NAME,CATALOGUE
46,抄表-14F1-搜表,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_SearchMeter,Script_ReadMeter_14F1_SearchMeter,抄表-14F1
47,抄表-14F1-成功失败标志,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_SuccessFailFlag,Script_ReadMeter_14F1_SuccessFailFlag,抄表-14F1
50,抄表-14F1-档案协议类型与表型识别不一致,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_ArchivesTypeNotLikeMeterProtocolType,Script_ReadMeter_14F1_ArchivesTypeNotLikeMeterProtocolType,抄表-14F1
51,抄表-14F1-抄读标志非02H延时相关,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_ReadSignNot02HDelayRelated,Script_ReadMeter_14F1_ReadSignNot02HDelayRelated,抄表-14F1
52,抄表-14F1-延时相关不回复14F3下行,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_Delay14F3DownNoResponse,Script_ReadMeter_14F1_Delay14F3DownNoResponse,抄表-14F1
53,抄表-14F1-3762信息域报文序号不匹配,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_3762InfoAreaFrameSeqNotMatch,Script_ReadMeter_14F1_3762InfoAreaFrameSeqNotMatch,抄表-14F1
54,抄表-14F1-抄表中参数初始化,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_MeterReadParaInit,Script_ReadMeter_14F1_MeterReadParaInit,抄表-14F1
55,抄表-14F1-10F5查询未抄读成功从节点信息,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_10F5QueryReadFailedNodeInfo,Script_ReadMeter_14F1_10F5QueryReadFailedNodeInfo,抄表-14F1
56,抄表-F1F1,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1,Script_ReadMeter_F1F1,抄表-F1F1
58,抄表-F1F1-单帧超过最大数量,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_ExceedMaxFrameNum,Script_ReadMeter_F1F1_ExceedMaxFrameNum,抄表-F1F1
59,抄表-F1F1-超过最大并行数,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_ExceedMaxParallelNum,Script_ReadMeter_F1F1_ExceedMaxParallelNum,抄表-F1F1
60,抄表-F1F1-同表新帧,3,SgHplcTestScript.dll::Script_ReadMeter_F1F1_SameMeterNewFrame,Script_ReadMeter_F1F1_SameMeterNewFrame,抄表-F1F1
61,抄表-F1F1-节点不在档案,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_NodeNotInRouter,Script_ReadMeter_F1F1_NodeNotInRouter,抄表-F1F1
63,抄表-F1F1-搜表,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_SearchMeter,Script_ReadMeter_F1F1_SearchMeter,抄表-F1F1
